date,close
2013-04-29,144.5399933 
2013-04-30,139 
2013-05-01,116.9899979 
2013-05-02,105.2099991 
2013-05-03,97.75 
2013-05-04,112.5 
2013-05-05,115.9100037 
2013-05-06,112.3000031 
2013-05-07,111.5 
2013-05-08,113.5660019 
2013-05-09,112.6699982 
2013-05-10,117.1999969 
2013-05-11,115.2429962 
2013-05-12,115 
2013-05-13,117.9800034 
2013-05-14,111.5 
2013-05-15,114.2200012 
2013-05-16,118.7600021 
2013-05-17,123.0149994 
2013-05-18,123.4980011 
2013-05-19,121.9899979 
2013-05-20,122 
2013-05-21,122.8799973 
2013-05-22,123.8889999 
2013-05-23,126.6999969 
2013-05-24,133.1999969 
2013-05-25,131.9799957 
2013-05-26,133.4799957 
2013-05-27,129.7449951 
2013-05-28,129 
2013-05-29,132.3000031 
2013-05-30,128.798996 
2013-05-31,129 
2013-06-01,129.3000031 
2013-06-02,122.2919998 
2013-06-03,122.2220001 
2013-06-04,121.4199982 
2013-06-05,121.6500015 
2013-06-06,118 
2013-06-07,111.5 
2013-06-08,108.3000031 
2013-06-09,100 
2013-06-10,106.3499985 
2013-06-11,108.9000015 
2013-06-12,108.1500015 
2013-06-13,104 
2013-06-14,99.97889709 
2013-06-15,99.98809814 
2013-06-16,99.51000214 
2013-06-17,101.6999969 
2013-06-18,107.4000015 
2013-06-19,108.25 
2013-06-20,110.1500015 
2013-06-21,109.5 
2013-06-22,108.3000031 
2013-06-23,107.5999985 
2013-06-24,102.7369995 
2013-06-25,103.9499969 
2013-06-26,104 
2013-06-27,101.4369965 
2013-06-28,94.64920044 
2013-06-29,94.9940033 
2013-06-30,96.61399841 
2013-07-01,88.05000305 
2013-07-02,90.13400269 
2013-07-03,77.52999878 
2013-07-04,80.52580261 
2013-07-05,68.43099976 
2013-07-06,70.27729797 
2013-07-07,74.56109619 
2013-07-08,76.51599884 
2013-07-09,76.69400024 
2013-07-10,86.76000214 
2013-07-11,88.98000336 
2013-07-12,93.59490204 
2013-07-13,98.1339035 
2013-07-14,94.69129944 
2013-07-15,98.40019989 
2013-07-16,97.45079803 
2013-07-17,98.5 
2013-07-18,90.58000183 
2013-07-19,92.16999817 
2013-07-20,89.39009857 
2013-07-21,90.75730133 
2013-07-22,91.61000061 
2013-07-23,95.5585022 
2013-07-24,94.51000214 
2013-07-25,96.90000153 
2013-07-26,96.02020264 
2013-07-27,94.11599731 
2013-07-28,99.7559967 
2013-07-29,101.1999969 
2013-07-30,107.9899979 
2013-07-31,106.0899963 
2013-08-01,104 
2013-08-02,104.5009995 
2013-08-03,104.0049973 
2013-08-04,105.1439972 
2013-08-05,106.2200012 
2013-08-06,106.75 
2013-08-07,106.75 
2013-08-08,103 
2013-08-09,102.8000031 
2013-08-10,103 
2013-08-11,105 
